City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,ciudad del este,-25.5167,-54.6167,27.41,69,0,3.6,PY,1714947545
323,akjoujt,19.6969,-14.4164,31.92,7,0,4.65,MR,1714947545
324,zabol,32.25,67.25,14.32,51,0,3.11,AF,1714947546
325,ceeldheer,3.8488,47.1806,26.34,82,100,4.95,SO,1714947546
326,sorong,-0.8833,131.25,26.26,85,100,2.02,ID,1714947546
327,san clemente del tuyu,-36.3569,-56.7235,17.21,93,100,1.8,AR,1714947546
328,medicine hat,50.0501,-110.6683,19.56,33,100,4.47,CA,1714947378
329,quellon,-43.1167,-73.6167,6.28,88,100,4.37,CL,1714947547
330,calingasta,-31.3308,-69.4078,19.59,8,2,4.51,AR,1714947547
331,dampit,-8.2116,112.7493,21.5,86,92,2.25,ID,1714947547
332,alice springs,-23.7,133.8833,3.75,93,9,2.06,AU,1714947547
333,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,78,40,3.58,RU,1714947547
334,namibe,-15.1961,12.1522,22.95,75,1,2.0,AO,1714947548
335,hundested,55.9667,11.8667,11.11,88,85,4.32,DK,1714947548
336,acarau,-2.8856,-40.12,26.27,89,100,4.22,BR,1714947548
337,karratha,-20.7377,116.8463,22.65,42,0,4.37,AU,1714947548
338,kone,-21.0595,164.8658,24.66,58,39,1.45,NC,1714947548
339,palmer,42.1584,-72.3287,9.76,82,100,3.09,US,1714947549
340,manakara,-22.1333,48.0167,22.18,69,100,1.0,MG,1714947549
341,troitskoye,52.9821,84.6757,9.8,94,100,4.77,RU,1714947549
342,le puy-en-velay,45.0437,3.8852,10.49,96,100,2.26,FR,1714947549
343,bardai,11.65,7.2333,30.49,23,0,3.19,NG,1714947549
344,fort bragg,35.139,-79.006,25.51,85,100,0.89,US,1714947550
345,mandiana,10.6333,-8.6833,32.17,24,36,1.99,GN,1714947550
346,tangalle,6.024,80.7911,26.63,90,57,2.95,LK,1714947550
347,sioux city,42.5,-96.4003,19.25,40,0,8.23,US,1714947550
348,ouesso,1.6136,16.0517,25.64,68,42,1.12,CG,1714947550
349,poshekhon'ye,58.4993,39.1353,2.9,86,52,3.51,RU,1714947551
350,otuzco,-7.9,-78.5833,13.67,81,82,1.87,PE,1714947551
351,ciudad lazaro cardenas,17.9583,-102.2,28.32,59,92,4.3,MX,1714947551
352,hechuan,29.9947,106.2572,19.79,79,91,0.86,CN,1714947551
353,crane,31.3974,-102.3501,27.05,51,95,5.92,US,1714947551
354,mejit,10.2753,170.8646,27.88,75,100,8.07,MH,1714947552
355,oyama,36.3,139.8,21.49,52,99,5.4,JP,1714947552
356,an nuhud,12.7,28.4333,28.01,13,59,4.06,SD,1714947552
357,polyarnyy,69.1989,33.4478,-1.4,90,100,9.29,RU,1714947552
358,nova olinda do norte,-3.8881,-59.0942,25.48,95,99,1.69,BR,1714947552
359,bushehr,28.9684,50.8385,27.1,56,0,1.76,IR,1714947553
360,astrakhan,46.3497,48.0408,8.93,61,0,2.0,RU,1714947553
